Top,Building,City,Height,Year
20,Marnia   101,Dubai,432,2015
3,Shanghai   Tower,Shanghai,632,2015
7,One   WTC,New York City,541,2014
2,Tokyo   Skytree,Tokyo,634,2012
4,Al-Bait   Towers,Mecca,601,2012
17,KK100,Shenzhen,442,2011
12,International   Commerce   Center,Hong Kong,484,2010
18,Guangzhou   International   Finance   Center,Guangzhou,440,2010
1,Burj   Khalifa,Dubai,828,2010
5,Canton   Tower,Guangzhou,600,2010
15,Zifeng   Tower,Nanjing,450,2010
19,Milad   Tower,Tehran,435,2009
11,WFC,Shangai,494,2008
10,Taipei   101,Taipei,508,2004
14,Petronas   Towers,Kuala Lumpur,452,1998
13,Oriental   Pearl,Shanghai,468,1994
6,CN   Tower,Toronto,553,1976
9,Willis   Tower,Chicago,527,1973
8,Ostankino   Tower,Moscow,540,1967
16,Empire   State,New York City,443,1931
